20173816-70,那完全是瞎说; 是对我的诽谤
20173818-87,从长远来看; 你不应该拿这笔钱做投资
20173818-89,是什么原因导致原本和谐的一家人变得像仇人一样
20173818-193,复印机有毛病了; 我需要上报
20173818-195,我看了两个小时电视打发时间
20173818-207,现在我不能放下工作; 它是我的心血
20173818-215,坚持就是胜利; 你要明白这个道理
20173818-231,今晚你想加班吗; 如果不想就赶紧走
20173818-245,我不能为你破例; 这是我的原则
20173818-261,我正在找工作; 现在正处在事业起步阶段
20173818-265,你到底站在哪一边; 支持我还是支持他
20173818-284,他有丰富的常识; 大家都喜欢和他聊天
20173818-288,他是守信用的人; 这点你不必担心
20173818-320,我们换个话题吧; 这个话题太沉重了
20173818-360,我已无心再回家面对那个寂静的屋子了
20173818-370,窗外的一缕阳光照在我的脸上; 感觉特别温暖
20173818-397,现在我同样感受到了那种感觉; 我深知那滋味多不好受
20173818-406,我们经历怎样的过去; 就会发展处怎样的处事方式
20173818-430,理解了你的局限; 我就不会再去期待
20173818-460,再加上一点鼓励和欣赏; 调动孩子的积极性
20173818-491,实施正确的教育方法; 要从调整心态开始
20173818-509,假期也是孩子拉开与其他同学档次的关键时期
20173818-517,教育和知识的资源从未如此的丰富过
20173818-535,没有任何主观能动性; 自然也是趣味性大大降低
20173818-536,让他们在实践中自己判断方案是否正确
20173818-600,这可以增进亲子之间的感情; 更有利于培养他积极向上的态度
20173818-605,不要轻易放弃自己; 总会有办法的
20173818-617,这下可麻烦了; 我该怎么办呢
20173818-763,这件事没什么特别的
20173818-767,希望你在这里过得愉快
20173818-769,天黑了; 夜静了; 只有我的房间的灯亮着
20173818-786,人活着到底是为了什么; 怎样活着才算有意义
20173818-657,上次你推荐的事哪家菜馆; 我想去试试
20173818-667,当我如平常温和时; 你依然没有改变; 没有改变自己的过错
20173818-838,虽然任务很繁重; 但我会尽力的
20173818-674,星期日到星期四不能看电视或玩电脑; 如果失信将取消所有活动
20173818-845,他们又用一种奇怪的眼神盯着我看; 似乎发现了什么
20173818-686,那位优秀的青年的资料弄错了; 造成他被淘汰的后果
20173818-692,他们以为是自己的利益升高了; 其实是给自己的今后带来了灾难
20173818-848,危险; 快躲开; 别看后面
20173818-858,随便你怎么想; 我已经决定了
20173818-877,全体学生和他们的家长参加了这一盛典; 共同见证这神圣的一刻
20173818-882,大家有不同的意见吗; 欢迎积极发言
20173818-887,人们在生活中往往注意到的是自己的不足与失败
20173818-903,生活中并不缺少美; 缺少的是发现美的眼睛
20173818-908,你不舒服吗; 你看上去很憔悴
20173818-913,有些人在童年时代感到无聊; 急切地想长大; 然后; 成年时又渴望回到童年
20173818-923,为自己的梦想不断前行; 朝着我们自己的目标不断迈进
20173818-946,能给我点零花钱吗
20173818-947,每一个感动中国的人物身上都有一些常人不具备的闪光点
20173818-953,无论遇到什么困难; 都要以积极的心态去面对
20173818-962,公交车移动得非常缓慢; 即使是周末; 人依旧这么多
20173818-968,这些名言告诉我们要经历种种挫折才会成功; 所以生活需要挫折
20173818-1020,每次回老家; 妈妈都到村口来接我。
20173818-1025,每天凌晨一点左右有装满蔬菜的汽车开往温特市场。
20173818-1071,我一点都不高兴; 我以后不要和他在一起了。
20173818-1127,我眼下最需要的东西是一台电脑。
20173818-1143,如果不能成为你的助手; 我一定会当你的对手。
20173818-1146,老板在观察他工作几周后就为他加薪了。
20173818-1169,您有什么高超的技术让生意兴隆？
20173818-1184,你们两个人走在一起互相衬托的很好看。
20173818-1202,他是大学刚毕业的法律系学生。
20173818-1217,美国人最擅长以夸大的动作; 表现自己内心感受的极限。
20173818-1218,优秀的广告能够改变消费者和产品的关系。
20173818-1230,麻省理工大学的电子工程和计算机科学很出色。
20173818-1242,你不能因为一次的失利就大发脾气。
20173818-1246,他在附近的海里打捞一些鱼虾; 然后拿去集市上卖。
20173818-1249,世界上很多事情不需要去改变它。
20173818-1251,小白兔有长长的耳朵; 毛茸茸的身子。
20173818-1273,他有一位乒乓球打得很好的学生。
20173818-1281,他气愤地拿起书稿想将它们撕碎。
20173818-1322,小婷最喜欢做的事情是看明星的演出。
20173818-1323,她常常能轻松得到与明星们合影的机会。
20173818-1343,30岁的他就进入了顶级玉雕大师的行列。
20173818-1351,犹太人家中都能看到放满书的书架。
20173818-1361,他把车停在路边的一个旅馆里了。
20173818-1363,我把空烟盒扔进了垃圾桶。
20173818-1381,这位医生一身白衣大褂; 戴着一副眼镜。
20173818-1428,我大学时候在观光园玩过一次蹦极。
20173818-1438,一个70岁的老太太居然在家里失火时把钢琴推到了外面。
20173818-1453,我在一间工作室拍了一套个人写真。
20173818-1454,参加一次游行活动; 感受激情与狂野。
20173818-1457,很多人都喜欢听相声赶走烦恼和忧愁。
20173818-1468,天葬台在藏族朋友心中是神圣的境地。
20173818-1479,他是第一位将动画上升到人文高度的思想者。
20173818-1517,德育是学生品德发展的外因。
20173818-1532,经常的体育锻炼可以促进身体的生长发育。
20173818-1541,他是教育独立论的代表。
20173818-1565,他认为教育应探讨完整的人。
20173818-1574,备好课是上好课的先决条件。
20173818-1581,社会学习论者主要采用实验法研究道德教育问题。
20173818-1582,集体教育模式的典型代表是一个苏联的教育家。
20173818-1583,西周官学的特点是官师合一。
20173818-1593,道家主张怀疑的学习方法。
20173818-1605,京师同文馆是洋务派最早创办的外国语学堂。
20173818-1612,他是我国职业教育现代化的重要奠基人。
20173818-1625,同化是图式发生量变的过程。
20173818-1642,建构主义是一种理论思潮。
20173818-1646,建构主义强调知识的动态性和情境性。
20173818-1674,假设的作用在于它是理论的先导; 起着核心作用。
20173818-1692,二次文献具有报告性; 汇编性; 简明性的特点。
20173818-1714,右脑为优势半脑的个体采取正合适的信息加工模式。
20173818-1735,教育的发展对于社会主义现代化建设具有引领作用。
20173818-1736,狐狸是一种十分狡猾的动物。
20173818-1740,高等教育处于整个教育发展的龙头地位。
20173818-1743,义务教育始终处于教育事业“重中之重”的地位。
20173818-1776,探究是一种创新性的认识活动。
20173818-1794,我国在西周时期就初步建立了教育考评制度。
20173818-1814,美国人说手语是聋人的文华特殊性征。
20173818-1817,死亡是生命的一部分; 是我们注定要做的事。
20173818-1825,行距窄的纸张要求学生在书写时更认真仔细。
20173818-1894,婴儿只能通过哭声来表达自己的需求。
20173818-1918,成人要选择正确的方式去帮助儿童。
20173818-1925,全面了解把握教学对象是教学成功的基础。
20173818-1938,最早的泥版书出现在大约公元前3000多年。
20173818-1940,斯巴达的教育完全由国家控制。
20173818-1971,狗是以肉食为主的杂食性动物。
20173818-1982,白色搭配灰色; 能显出优雅的气质。
20173818-1995,基督教一切教育的目的是培养虔诚的教徒。
20173818-2018,汉族没有产生全民族必须信仰的宗教。
20173818-2020,乌孜别克文是以阿拉伯字母为基础的拼音文字。
20173818-2058,商代人已能精细织造极薄的绸子; 衣料用色厚重。
20173818-2068,148.工艺的传播; 使多样、精美的衣着服饰脱颖而出。
20173818-2071,中国最大的冲积岛是崇明岛。
20173818-2122,颐位于中国北京市西北海淀区。
20173818-2162,1994年12月; 避暑山庄及周围寺庙(曾用名热河行宫)被列入世界文化遗产名录。
20173818-2183,云冈石窟位于山西省大同市以西16公里处的武周山南麓。
20173818-2192,老虎滩海洋极地动物馆是世界上建筑面积最大、屯水量最多、展示极地动物最全的场馆。
20173818-2204,五大连池位于黑河地区五大连池市。
20173818-2229,蓬莱阁是全国重点文物保护单位。
20173818-2231,曲阜有着5000多年的悠久历史。
20173818-2250,香格里拉是一个自然景观、人文景观的富集区域。
20173818-2272,白族有自己的语言; 属汉藏语系藏缅语族白语支。
20173818-2273,飞机窗户的玻璃是双侧的。
20173818-2274,大多数白族通晓汉语; 并作为与其他民族的交际工具。
20173818-2281,美国时刻关注自身教育问题。
20173818-2303,手是与外界直接接触最多的一个部位。
20173818-2319,目光是非言语交流的重要手段。
20173818-2355,他擅长演好莱坞悲剧电影。
20173818-2369,他坚持把逻辑经验主义应用于教育管理研究。
20173818-2387,老年人不适宜总做深呼吸。
20173818-2388,手机贴膜会损伤人的眼睛。
20173818-2416,牙龈出血了要尽快更换牙刷。
20173818-2430,南水北调是世界上最大的水利工程。
20173818-2431,干嚼食物可以防止大脑老化。
20173818-2432,上午晒太阳有益于冬季健康。
20173818-2435,胖大海泡茶不宜长期饮用。
20173818-2450,饮料在体内排泄慢; 会加重胃肠道和肾脏的负担。
20173818-2471,多吃黑色食物可以补肾。
20173818-2482,目录是论文中主要段落的简表。
20173818-2515,她姑姑送了她一件毛线衫。
20173818-2533,大国争霸是春秋时期的一个重要特征。
20173818-2544,每次会议要记录和分配好时间。
20173818-2548,他敢于承担部门决策失败的责任。
20173818-2583,民间素有惊蛰吃梨的习俗。
20173818-2601,音乐对孩子智力的发展很有好处。
20173818-2607,三六一度是民族体育用品行业领先品牌。
20173818-2629,丹比奴是年轻一代时尚受众的仰慕品牌之一。
20173818-2671,教育孩子把学习当成工作。
20173818-2673,要帮助孩子摆脱考前紧张。
20173818-2685,要告诉孩子上学的重要性。
20173818-2695,她没兴趣给花园里的草木修枝剪叶。
20173818-2698,用于娱乐的新科技是青少年身心紊乱的主要原因。
20173818-2738,唐朝年间; 工笔画开始流行。
20173818-2744,所有孩子都是有进取心的。
20173818-2760,日本孩子课外活动排在第一位的是游泳等体育项目。
20173818-2767,火药的研究开始于古代道家的炼丹术。
20173818-2773,印刷术是人类近代文明的先导。
20173818-2782,中国建成了一个超音速磁悬浮列车试验平台。
20173818-2785,哈大高铁是世界上第一条地处高寒地区的高铁线路。
20173818-2789,人的情绪是心理状态的反映。
20173818-2808,睡觉前不要喝太多水或饮料。
20173818-2814,睡眠的最佳时间在晚上9点到10点之间。
20173818-2835,佛教在汉朝开始传入中国。
20173818-2859,教育部明确提出今年要基本消除66人以上的超大班额。
20173818-2862,他是唐代伟大的浪漫主义诗人。
20173818-2872,德国是欧洲经济实力最强的国家。
20173818-2874,天津理工大学的全纳教育开始于2013年。
20173818-2896,他经常带孩子去图书馆。
20173818-3183,他有一个徒弟。
20173818-2962,完善自己可以使你成为胜利者。
20173818-2966,在所有的音乐中; 最悦耳的是掌声。
20173818-3197,我删除了垃圾邮件。
20173818-2977,真正的天才最崇尚的就是勤奋。
20173818-3220,这次见面后; 两人开始熟悉起来。
20173818-2989,他随时迎接周围人的挑战。
20173818-3228,他很擅长画油画。
20173818-3002,我喜欢听英语。
20173818-3263,这家饭店的菜很好吃。
20173818-3013,你的脖子红了。
20173818-3278,我骑自行车去上学。
20173818-3026,我讨厌别人骗我。
20173818-3327,她是世界上最美的人。
20173818-3030,我要坐船回家。
20173818-3330,我明天要睡到自然醒。
20173818-3049,公园里有一座喷泉。
20173818-3340,又是一年毕业季。
20173818-3050,我们家买了一个车库。
20173818-3348,我不会妨碍你挣钱的。
20173818-3060,天气预报真的很准。
20173818-3062,他在去学校的路上出了车祸。
20173818-3371,我准备开车去上班。
20173818-3083,我热爱民主与自由。
20173818-3382,明星总是受到很多人的追捧。
20173818-3389,历史总是惊人的相似。
20173818-3395,他解决了一个难题。
20173818-3152,要抵制不良诱惑。
20173818-3400,只是我的私人海岛。
20173818-3154,你没有资格质疑我。
20173818-3413,我想去海边看日出。
20173818-3427,他要再婚了。
20173818-3436,请带好随身物品。
20173818-3469,他建立了一个帝国。
20173818-3473,医生说他活不久了。
20173818-3479,他一个月没洗澡了。
20173818-3493,他的专业很好。
20173818-3507,想要的都拥有; 得不到的都释怀。
20173818-3522,昨天一位物理学家去世了。
20173818-3527,他无情地拒绝了她的请求。
20173818-3530,人质被成功解救了。
20173818-3551,她有一头柔顺的秀发。
20173818-3561,大家都要顾全大局。
20173818-3570,个人利益要让步于整体利益。
20173818-3582,他可以熟练掌握多门外语。
20173818-3599,他的手机壁纸是自己的自拍。
20173818-3621,他是一个连环杀手。
20173818-3628,这篇文章很感人。
20173818-3644,请合理疏导负面情绪。
20173818-3646,我主修行政管理。
20173818-3665,岸上的鱼已经死了。
20173818-3669,这只虾很大。
20173818-3683,世界上没有黑色的花。
20173818-3699,这里的雾已经散了。
20173818-3709,你打车的费用单位帮你报销。
20173818-3727,你让我们很失望; 为你感到耻辱。
20173818-3742,对方做的不对; 你去做对帮助她解决就好了。
20173818-3743,生活中解决问题远比计较对错更有魅力。
20173818-3744,他得了癌症。
20173818-3763,他已经与公司管理层和相关部门进行了友好的沟通; 相信会有一个合理的解决方案。
20173818-3781,这里的奢侈品很全。
20173818-3804,高等数学课程体系很健全。
20173818-3821,他在街道办事处工作。
20173818-3831,他去纹身了。
20173818-3842,现在很多人都是追星族。
20173818-3843,他的观点启迪了我的思维。
20173818-3858,系主任很器重我。
20173818-3860,只是我们的家族企业。
20173818-3875,把你的简历发到我邮箱里。
20173818-3881,本店只能用现金支付。
20173818-3895,葡萄酒很好喝。
20173818-3896,我妈妈是一个会计。
20173818-3905,夏天要涂防晒霜。
20173818-3914,建立各人的吸引力。
20173818-3990,不要犹豫了; 大胆尝试吧。
